lon,lat,Tetrastigma
110.575848,27.06032,1
110.585686,25.60168,1
110.8,24.6,1
111.02,29.69,1
111.266023,23.25013,1
111.945802,25.570976,1
112.029,24.5295,1
112.948819,25.39996,1
113.166529,30.663372,1
113.184435,24.813781,1
113.217309,25.22845,1
113.415062,24.186045,1
113.773813,25.124499,1
114.05,22.54,1
114.24,26.94,1
114.35,25.39,1
114.37098,28.52075,1
114.412629,29.010101,1
114.53,24.74,1
114.61,27.39,1
114.789812,24.911106,1
114.9,27.04,1
114.93,24.44,1
114.96,29.32,1
115.393921,25.136922,1
115.417975,29.620186,1
115.65,24.95,1
115.78,25.6,1
115.98,29.67,1
116.42,25.04,1
116.52,27.21,1
116.62,24.33,1
117.17,26.9,1
117.245492,28.292516,1
117.31,24.7,1
117.359304,25.959029,1
117.47,26.72,1
117.792739,26.397146,1
118.03,27.75,1
118.18,26.64,1
118.3,27.02,1
118.69,28.38,1
118.89,28.29,1
119.41,28.23,1
119.42,30.36,1
119.63,27.97,1
119.9,28.49,1
120.52,27.44,1
120.685,29.21,1
121.02,29.76,1
121.03,29.15,1
121.31,29.5,1
121.54,29.86,1
95.04406944,29.18450278,1
118.935,31.921,1
119.853,31.806,1
120.351,31.309,1
118.858,32.214,1
118.858,30.798,1
119.624,32.482,1
119.24,31.585,1
118.525,31.96,1
119.036,31.371,1
119.272,31.399,1
119.844,31.399,1
119.299,32.18,1
119.128,31.699,1
119.031,31.658,1
119.629,31.331,1
119.583,31.576,1
120.027,31.214,1
118.648,31.832,1
